iter	Passed	Remaining
811	4400	1018
812	4405	1013
813	4411	1007
814	4415	1002
815	4420	996
816	4426	991
817	4431	986
818	4436	980
819	4442	975
820	4447	969
821	4452	964
822	4457	958
823	4463	953
824	4468	947
825	4473	942
826	4478	936
827	4483	931
828	4488	925
829	4494	920
830	4499	915
831	4503	909
832	4509	904
833	4514	898
834	4519	893
835	4525	887
836	4529	882
837	4534	876
838	4540	871
839	4545	865
840	4550	860
841	4556	855
842	4561	849
843	4566	843
844	4571	838
845	4577	833
846	4581	827
847	4587	822
848	4592	816
849	4597	811
850	4601	805
851	4607	800
852	4612	794
853	4616	789
854	4622	783
855	4627	778
856	4631	772
857	4637	767
858	4642	762
859	4647	756
860	4652	751
861	4657	745
862	4662	740
863	4666	734
864	4672	729
865	4677	723
866	4683	718
867	4688	713
868	4693	707
869	4698	702
870	4704	696
871	4709	691
872	4714	685
873	4719	680
874	4724	674
875	4729	669
876	4734	663
877	4739	658
878	4744	653
879	4748	647
880	4755	642
881	4759	636
882	4764	631
883	4770	626
884	4775	620
885	4780	615
886	4786	609
887	4790	604
888	4795	598
889	4800	593
890	4805	587
891	4810	582
892	4815	576
893	4820	571
894	4825	566
895	4829	560
896	4836	555
897	4841	549
898	4846	544
899	4851	539
900	4856	533
901	4861	528
902	4867	522
903	4872	517
904	4876	511
905	4882	506
906	4887	501
907	4892	495
908	4896	490
909	4902	484
910	4907	479
911	4911	473
912	4917	468
913	4922	463
914	4927	457
915	4932	452
916	4937	446
917	4942	441
918	4947	436
919	4952	430
920	4957	425
921	4962	419
922	4968	414
923	4974	409
924	4979	403
925	4985	398
926	4991	393
927	4997	387
928	5002	382
929	5008	376
930	5013	371
931	5019	366
932	5024	360
933	5030	355
934	5036	350
935	5041	344
936	5047	339
937	5053	334
938	5059	328
939	5065	323
940	5070	317
941	5075	312
942	5081	307
943	5086	301
944	5091	296
945	5097	290
946	5102	285
947	5107	280
948	5112	274
949	5117	269
950	5122	263
951	5127	258
952	5133	253
953	5137	247
954	5142	242
955	5148	236
956	5153	231
957	5158	226
958	5164	220
959	5169	215
960	5174	209
961	5179	204
962	5184	199
963	5189	193
964	5195	188
965	5200	183
966	5204	177
967	5210	172
968	5215	166
969	5220	161
970	5225	156
971	5230	150
972	5235	145
973	5240	139
974	5246	134
975	5251	129
976	5256	123
977	5262	118
978	5267	112
979	5272	107
980	5278	102
981	5283	96
982	5287	91
983	5293	86
984	5298	80
985	5303	75
986	5309	69
987	5313	64
988	5318	59
989	5323	53
990	5329	48
991	5333	43
992	5338	37
993	5343	32
994	5348	26
995	5353	21
996	5359	16
997	5364	10
998	5369	5
999	5375	0
